time [s],425nm [mV],Channel 2-500nm [mV],Channel 3-610nm [mV]
0,2.024,2.241,5.445
20,2.024,2.263,5.565
40,2.537,7.486000000000001,39.396
60,2.63,9.613,85.02
80,2.6919999999999997,11.067,95.041
100,2.792,12.839,107.944
120,2.9560000000000004,14.790999999999999,122.52600000000001
140,3.102,16.961,137.935
160,3.176,18.935,149.333
180,3.262,20.916,159.304
200,3.2760000000000002,22.781,167.708
220,3.417,25.015,177.476
240,3.455,27.316,187.507
260,3.576,29.874000000000002,198.095
280,3.688,32.599000000000004,208.80900000000003
300,3.7960000000000003,35.715,220.66400000000002
320,3.955,38.977,232.83
340,4.129,42.787,247.09900000000002
360,4.261,46.748999999999995,260.742
380,4.382,50.75,273.767
400,4.673,55.013000000000005,287.85900000000004
420,4.787,59.295,300.10200000000003
440,5.016,63.725,312.58099999999996
460,5.26,68.514,325.737
480,5.5120000000000005,73.65,339.284
500,5.736000000000001,78.373,351.26
520,5.952999999999999,82.228,358.539
540,6.17,85.444,361.92900000000003
560,6.371,88.491,364.904
580,6.513999999999999,91.15899999999999,365.42699999999996
600,6.74,93.844,366.32099999999997
620,6.893,96.042,364.75699999999995
640,7.114,98.891,366.52099999999996
660,7.353,101.676,368.171
680,7.641,104.64,371.05800000000005
700,7.949,109.005,379.014
720,8.318,113.285,386.727
740,8.695,117.745,393.918
760,9.179,122.757,403.209
780,9.634,128.264,414.186
800,10.059,133.204,422.897
820,10.520999999999999,137.91299999999998,431.144
840,10.912,142.05,436.995
860,11.413,146.849,445.04400000000004
880,11.883,150.754,449.38300000000004
900,12.495999999999999,156.736,460.019
920,13.304,164.702,476.246
940,14.501,178.196,507.634
960,15.814,192.678,540.097
980,16.596,199.757,552.549
1000,16.687,198.25,541.3009999999999
1020,16.05,186.85299999999998,505.29699999999997
1040,14.305,162.606,435.94599999999997
1060,11.960999999999999,130.141,344.434
1080,9.73,99.292,257.099
1100,8.352,79.143,198.338
1120,7.875,70.696,171.628
1140,7.956,69.962,166.855
1160,8.132,71.182,168.231
1180,8.242,71.342,167.606
1200,8.521,73.485,171.835
1220,9.043,77.682,180.21099999999998
1240,9.871,84.896,194.826
1260,11.466,100.37899999999999,229.507
1280,14.102,125.65899999999999,286.264
1300,17.257,155.048,350.769
1320,19.908,179.472,403.202
1340,22.215999999999998,199.94299999999998,446.851
1360,23.584,211.627,471.134
1380,23.421999999999997,207.61,459.816
1400,22.516,196.261,431.099
1420,21.954,188.305,411.31
1440,22.151,187.07,405.858
1460,22.974,191.37099999999998,411.723
1480,24.531,201.755,430.934
1500,26.364,215.101,455.029
1520,28.682,231.769,486.43800000000005
1540,32.003,256.64099999999996,534.88
1560,36.035,287.313,595.0880000000001
1580,40.298,319.009,656.505
1600,43.18,338.74699999999996,693.181
1620,44.32899999999999,344.05,699.07
1640,43.571000000000005,333.834,673.3989999999999
1660,41.118,310.233,620.694
1680,38.407,284.469,562.711
1700,36.135,263.63599999999997,517.368
1720,35.138000000000005,252.433,491.469
1740,36.547,259.492,500.958
1760,39.325,275.395,527.341
1780,42.589,296.58799999999997,565.691
1800,46.527,322.177,612.013
1820,50.50899999999999,348.327,661.7330000000001
1840,55.497,380.36800000000005,720.258
1860,60.138999999999996,409.434,772.436
1880,63.25,428.3,806.413
1900,64.933,436.88800000000003,821.137
1920,66.867,446.05300000000005,835.898
1940,69.082,456.86,852.9110000000001
1960,70.813,464.23900000000003,862.768
1980,70.04,455.277,843.313
2000,67.859,436.435,804.3789999999999
2020,65.072,414.55,759.9780000000001
2040,61.556999999999995,387.60900000000004,706.4939999999999
2060,59.276,368.64,667.4810000000001
2080,57.027,350.173,629.4159999999999
2100,54.09,328.457,586.624
2120,50.211000000000006,301.185,534.568
2140,46.732,276.916,488.615
2160,43.674,255.342,447.11400000000003
2180,40.817,235.946,410.82599999999996
2200,38.321,219.333,380.249
2220,37.339,211.59900000000002,365.0
2240,36.495,204.558,351.31699999999995
2260,35.224000000000004,195.98,335.634
2280,32.604,180.63299999999998,310.228
2300,30.584,167.983,288.062
2320,30.31,164.669,280.843
2340,31.018,166.903,282.257
2360,32.458,173.123,290.601
2380,34.225,181.21,302.365
2400,36.18,190.055,314.877
2420,37.365,195.02900000000002,321.367
2440,37.451,194.335,319.231
2460,36.411,187.595,307.41200000000003
2480,34.95,178.47099999999998,291.47900000000004
2500,33.45,169.43,276.551
2520,31.691,159.554,260.591
2540,30.828000000000003,154.14700000000002,251.453
2560,32.079,158.994,257.60900000000004
2580,34.008,167.59900000000002,269.403
2600,35.26,172.706,276.077
2620,34.847,169.485,269.389
2640,32.891999999999996,158.386,251.04
2660,29.383000000000003,140.295,222.30599999999998
2680,26.320999999999998,124.414,196.614
2700,25.21,117.557,184.863
2720,24.767,114.713,179.56
2740,23.608,108.21799999999999,168.605
2760,21.415,96.803,150.707
2780,3.262,9.282,16.623
2800,3.138,7.718,12.629000000000001
2820,3.076,7.439,12.097000000000001
2840,3.049,7.215,11.685
2860,3.028,7.0520000000000005,11.360999999999999
2880,3.0469999999999997,6.938,11.12
2900,2.987,6.886,10.967
2920,2.98,6.8020000000000005,10.87
2940,2.995,6.7829999999999995,10.679
2960,2.985,6.697,10.505
2980,2.997,6.652,10.378
3000,2.9589999999999996,6.5760000000000005,10.270999999999999
3020,2.985,6.518,10.14
3040,2.98,6.452000000000001,10.052
3060,2.949,6.449,9.904
3080,2.9589999999999996,6.371,9.747
3100,2.935,6.235,9.552999
3120,2.904,6.13,9.347999999999999
3140,2.8989999999999996,6.077000000000001,9.227
3160,2.8939999999999997,6.096,9.141
3180,2.937,6.061,9.096
3200,2.911,6.056,8.996
